S/N,AMOUNT,ITEM,??,UNIX TIMESTAMP,STATUS,PAYMENT REF,SESSION,,PRINT STATUS,LEVEL,??
757,25000,CERT,1,1617643531,successful,MEKDSTN07,2020/2021,nil,PRINTED,HND,NIL
758,10000,TRANS,1,1617645643,successful,TMECVB6U4,2020/2021,nil,PRINTED,ND,NIL
808,25000,CERT,1,1617798584,successful,6SRA7H4QE,2020/2021,nil,PRINTED,ND,NIL
759,10000,TRANS,1,1617687001,successful,N5ST9JDVW,2020/2021,nil,PRINTED,HND,NIL
760,25000,CERT,1,1617657863,successful,K080VTPG4,2020/2021,nil,PRINTED,ND,NIL
761,25000,CERT,1,1617695972,successful,HS8QWK060,2020/2021,nil,PRINTED,ND,YES
762,25000,CERT,1,1617696475,successful,SKE0T01P7,2020/2021,nil,PRINTED,HND,YES
763,25000,CERT,1,1617696895,successful,HVPE5F8WS,2020/2021,nil,PRINTED,HND,YES
764,25000,CERT,1,1617697289,successful,6F800UNTD,2020/2021,nil,PRINTED,ND,NIL
765,25000,CERT,1,1617697468,successful,DPK8FN9HW,2020/2021,nil,PRINTED,ND,NIL
766,25000,CERT,1,1617699939,successful,S76HR0K5G,2020/2021,nil,PRINTED,ND,YES
767,25000,CERT,1,1617785433,successful,6K4WM9C27,2020/2021,nil,PRINTED,ND,NIL
768,25000,CERT,1,1617700580,successful,EA18BPJ6K,2020/2021,nil,PRINTED,ND,NIL
769,25000,CERT,1,1617703456,successful,UKCG5R8FD,2020/2021,nil,PRINTED,ND,NIL
770,25000,CERT,1,1617703041,successful,QVDHC0RTN,2020/2021,nil,PRINTED,ND,YES
771,25000,CERT,1,1617704393,failed,7HR2GB659,2020/2021,nil,UNPRINTED,HND,NIL
772,10000,TRANS,1,1617704076,successful,S0A2R9JDQ,2020/2021,nil,PRINTED,ND,NIL
773,10000,TRANS,1,1617704434,successful,9M6TAFW0C,2020/2021,nil,PRINTED,HND,NIL
774,25000,CERT,1,1617705022,successful,7JWN4E0P6,2020/2021,nil,PRINTED,HND,NIL
775,25000,CERT,1,1617705302,successful,AEU0SHB2J,2020/2021,nil,PRINTED,HND,YES
776,10000,TRANS,1,1617705941,successful,F0CKQ6A4U,2020/2021,nil,PRINTED,HND,NIL
777,25000,CERT,1,1621848176,successful,SK4TEMGWD,2020/2021,nil,PRINTED,ND,NIL
778,25000,CERT,1,1617706452,successful,9RFPCBSQ1,2020/2021,nil,PRINTED,ND,YES
779,25000,CERT,1,1617707585,successful,7T28UWDP5,2020/2021,nil,PRINTED,ND,YES
781,25000,CERT,1,1617711218,successful,HWT27Q0VM,2020/2021,nil,PRINTED,ND,YES
782,25000,CERT,1,1617711514,successful,NJVTH7WGC,2020/2021,nil,PRINTED,ND,NIL
783,25000,CERT,1,1617712369,successful,7G6MNTP1S,2020/2021,nil,PRINTED,ND,NIL
784,25000,CERT,1,1617712861,successful,B69E80WVU,2020/2021,nil,PRINTED,ND,YES
785,25000,CERT,1,1618333211,successful,5CFA4R90W,2020/2021,nil,PRINTED,HND,NIL
786,25000,CERT,1,1617713700,successful,89GNH0DAW,2020/2021,nil,PRINTED,ND,YES
787,25000,CERT,1,1617718253,successful,6UAB051S2,2020/2021,nil,PRINTED,ND,NIL
788,25000,CERT,1,1617718814,successful,J0F1C5QTK,2020/2021,nil,PRINTED,ND,NIL
789,25000,CERT,1,1617719747,successful,5SJ0BFK9N,2020/2021,nil,PRINTED,ND,YES
790,25000,CERT,1,1617736896,successful,HD96P4SQC,2020/2021,nil,PRINTED,ND,NIL
791,10000,TRANS,1,1617784737,failed,TV0C1DRME,2020/2021,nil,UNPRINTED,HND,NIL
792,25000,CERT,1,1617785400,successful,H45QS1EDG,2020/2021,nil,PRINTED,ND,YES
793,25000,CERT,1,1617789216,successful,ESAHWF2V0,2020/2021,nil,PRINTED,ND,YES
794,25000,CERT,1,1617789870,successful,952M7FVTQ,2020/2021,nil,PRINTED,ND,NIL
796,20000,CERT,1,1617893347,successful,952M7FVTQ,2020/2021,nil,PRINTED,HND,YES
795,25000,CERT,1,1617790271,successful,CB5AE9TVD,2020/2021,nil,PRINTED,ND,YES
797,25000,CERT,1,1619513686,successful,JFCRHG57T,2020/2021,nil,PRINTED,HND,NIL
798,25000,CERT,1,1617791623,successful,JUVBG45RM,2020/2021,nil,PRINTED,HND,YES
799,25000,CERT,1,1617791785,successful,JFCRHG57T,2020/2021,nil,UNPRINTED,ND,YES
800,25000,CERT,1,1617792154,successful,QBF16UMA8,2020/2021,nil,PRINTED,ND,NIL
801,25000,CERT,1,1617793860,successful,092TFPB0A,2020/2021,nil,PRINTED,ND,NIL
802,25000,CERT,1,1617795453,successful,HT2RD0EK5,2020/2021,nil,PRINTED,ND,YES
803,25000,CERT,1,1617797270,successful,KSHBPMT8C,2020/2021,nil,PRINTED,ND,NIL
804,25000,CERT,1,1617797531,successful,GMT4QJC26,2020/2021,nil,UNPRINTED,ND,YES
805,25000,CERT,1,1617797536,successful,JWPUC9VG0,2020/2021,nil,PRINTED,ND,YES
806,25000,CERT,1,1617797575,successful,CH2SF50E1,2020/2021,nil,PRINTED,ND,NIL
807,25000,CERT,1,1617797890,successful,FHV75C4NE,2020/2021,nil,PRINTED,ND,NIL
809,25000,CERT,1,1617798605,successful,MECW7JG0V,2020/2021,nil,PRINTED,ND,NIL
811,25000,CERT,1,1617800061,successful,1FTS0JQN6,2020/2021,nil,PRINTED,ND,NIL
810,25000,CERT,1,1617798868,successful,U7T0M2P0N,2020/2021,nil,PRINTED,ND,YES
812,25000,CERT,1,1617873031,successful,GC5M7D820,2020/2021,nil,PRINTED,ND,YES
813,25000,CERT,1,1617830680,successful,SHFA84EVU,2020/2021,nil,PRINTED,ND,YES
814,25000,CERT,1,1617815523,successful,J0RW2S5P9,2020/2021,nil,PRINTED,ND,YES
815,25000,CERT,1,1617868833,successful,8MVG0A147,2020/2021,nil,UNPRINTED,ND,YES
816,25000,CERT,1,1617868911,successful,TD8BK6VEC,2020/2021,nil,PRINTED,ND,YES
817,25000,CERT,1,1617869302,successful,8MVG0A147,2020/2021,nil,PRINTED,HND,YES
818,25000,CERT,1,1618561686,successful,84GBEJSUM,2020/2021,nil,PRINTED,HND,NIL
819,25000,CERT,1,1617872587,successful,HW8R1BF0K,2020/2021,nil,PRINTED,ND,YES
820,25000,CERT,1,1617873101,successful,WUFTA05GV,2020/2021,nil,PRINTED,ND,NIL
821,25000,CERT,1,1617873654,successful,HQRPFTC59,2020/2021,nil,PRINTED,ND,YES
822,25000,CERT,1,1617874897,successful,GP1RSTUC7,2020/2021,nil,PRINTED,ND,YES
823,25000,CERT,1,1617883769,successful,WTRFBVSD0,2020/2021,nil,PRINTED,ND,NIL
824,25000,CERT,1,1617883920,successful,M0UE50D9F,2020/2021,nil,PRINTED,ND,YES
825,10000,TRANS,1,1617891071,successful,859DGVWCH,2020/2021,nil,PRINTED,ND,NIL
826,25000,CERT,1,1617891997,successful,K6RU9G1CH,2020/2021,nil,PRINTED,ND,NIL
827,25000,CERT,1,1617894127,successful,UBANEJR24,2020/2021,nil,PRINTED,ND,NIL
828,25000,CERT,1,1617895516,successful,401VJUR2E,2020/2021,nil,PRINTED,ND,YES
829,25000,CERT,1,1617895634,successful,4TB0HKP7A,2020/2021,nil,PRINTED,ND,NIL
830,25000,CERT,1,1617902113,successful,NF0DUR7GW,2020/2021,nil,PRINTED,ND,YES
831,10000,TRANS,1,1617908255,failed,CJ5F84KHD,2020/2021,nil,UNPRINTED,HND,NIL
832,25000,CERT,1,1617908481,failed,CJ5F84KHD,2020/2021,nil,UNPRINTED,ND,NIL
833,10000,TRANS,1,1617955227,successful,8MABUNE1V,2020/2021,nil,PRINTED,HND,YES
834,25000,CERT,1,1617957568,successful,TU5FC1BHW,2020/2021,nil,PRINTED,ND,NIL
835,25000,CERT,1,1617957562,successful,F9J40DM5E,2020/2021,nil,PRINTED,ND,YES
836,25000,CERT,1,1618495642,successful,HPTF5B84R,2020/2021,nil,UNPRINTED,HND,NIL
837,25000,CERT,1,1617959448,successful,0JD1FG47M,2020/2021,nil,PRINTED,HND,NIL
838,10000,TRANS,1,1617970332,successful,KCN7V0HMT,2020/2021,nil,PRINTED,ND,YES
839,25000,CERT,1,1617961637,successful,F0BUCES1W,2020/2021,nil,PRINTED,ND,NIL
840,25000,CERT,1,1617964049,successful,C1FV6RBU7,2020/2021,nil,PRINTED,ND,YES
841,25000,CERT,1,1617964234,successful,FAC495MVH,2020/2021,nil,PRINTED,ND,YES
842,25000,CERT,1,1617965788,successful,921AQU4TN,2020/2021,nil,PRINTED,ND,YES
844,25000,CERT,1,1617970646,successful,9A8M5RNV0,2020/2021,nil,UNPRINTED,ND,YES
843,10000,TRANS,1,1617970394,successful,0D5T0QHSN,2020/2021,nil,PRINTED,ND,NIL
845,10000,TRANS,1,1617971248,successful,W0AMKSRJF,2020/2021,nil,PRINTED,HND,YES
846,25000,CERT,1,1617974807,successful,0H5UJBSVD,2020/2021,nil,PRINTED,ND,YES
847,10000,TRANS,1,1619174092,successful,WMBANPE1V,2020/2021,nil,PRINTED,ND,NIL
848,25000,CERT,1,1618034486,successful,RGKFJ82P5,2020/2021,nil,PRINTED,ND,NIL
849,25000,CERT,1,1618220481,successful,TKHC8U5MB,2020/2021,nil,PRINTED,ND,NIL
851,10000,TRANS,1,1618165722,failed,G7CDQEP05,2020/2021,nil,UNPRINTED,ND,NIL
850,25000,CERT,1,1618165216,successful,M4D9GPE0J,2020/2021,nil,PRINTED,ND,YES
852,25000,CERT,1,1618209852,successful,KQ7FM09TW,2020/2021,nil,PRINTED,ND,NIL
853,25000,CERT,1,1618214258,successful,9CJ1NVREW,2020/2021,nil,PRINTED,ND,NIL
854,25000,CERT,1,1618217960,successful,5J7QWNG64,2020/2021,nil,PRINTED,ND,YES
855,25000,CERT,1,1618218698,successful,G1CV7AD0S,2020/2021,nil,PRINTED,ND,NIL
856,25000,CERT,1,1618305831,successful,45EUSC9T1,2020/2021,nil,PRINTED,ND,YES
857,25000,CERT,1,1618221183,successful,269K71PRN,2020/2021,nil,PRINTED,ND,NIL
858,25000,CERT,1,1618221607,successful,9S00GA1UH,2020/2021,nil,PRINTED,ND,YES
859,25000,CERT,1,1618221929,successful,TA8QG7F0S,2020/2021,nil,PRINTED,ND,NIL
860,25000,CERT,1,1618223136,successful,Q6DUJG0TS,2020/2021,nil,PRINTED,HND,YES
861,25000,CERT,1,1618224578,successful,7W100A82C,2020/2021,nil,PRINTED,ND,NIL
862,25000,CERT,1,1618225984,successful,MFUQ2N4B6,2020/2021,nil,PRINTED,ND,NIL
863,25000,CERT,1,1618227404,successful,7W2CG4A6N,2020/2021,nil,PRINTED,ND,YES
864,25000,CERT,1,1620720028,successful,JRVB7145H,2020/2021,nil,PRINTED,ND,NIL
865,25000,CERT,1,1618229880,successful,9AEM0RNW0,2020/2021,nil,PRINTED,ND,NIL
866,25000,CERT,1,1618230050,failed,W1U47BQ6M,2020/2021,nil,UNPRINTED,ND,NIL
867,25000,CERT,1,1618483434,successful,9M0F7SW2Q,2020/2021,nil,PRINTED,ND,NIL
868,25000,CERT,1,1618230961,failed,945GJF1C2,2020/2021,nil,UNPRINTED,ND,NIL
869,25000,CERT,1,1618233901,successful,SK0BRVAD8,2020/2021,nil,PRINTED,ND,NIL
870,10000,TRANS,1,1618237376,failed,TQ9PUS7NJ,2020/2021,nil,UNPRINTED,HND,NIL
871,25000,CERT,1,1618238500,successful,2T074J8UW,2020/2021,nil,PRINTED,ND,YES
872,25000,CERT,1,1618241187,successful,CTFS47W5V,2020/2021,nil,PRINTED,ND,YES
873,25000,CERT,1,1618245714,successful,6U2CFHBEW,2020/2021,nil,PRINTED,ND,YES
874,25000,CERT,1,1618246968,successful,5PGEFA6BM,2020/2021,nil,PRINTED,ND,YES
875,25000,CERT,1,1618281820,successful,8Q1DTPSVR,2020/2021,nil,PRINTED,ND,NIL
876,25000,CERT,1,1619016082,successful,JP87U60C0,2020/2021,nil,PRINTED,ND,YES
877,10000,TRANS,1,1618303558,failed,UPH4KA6NV,2020/2021,nil,UNPRINTED,ND,NIL
878,10000,TRANS,1,1618304300,successful,GVHQRB15S,2020/2021,nil,PRINTED,ND,NIL
879,25000,CERT,1,1618306514,successful,JSPE4T8F6,2020/2021,nil,PRINTED,ND,YES
880,25000,CERT,1,1618307615,successful,U7Q81DF9P,2020/2021,nil,PRINTED,ND,NIL
881,25000,CERT,1,1618311124,successful,P0BSQR076,2020/2021,nil,PRINTED,ND,YES
882,25000,CERT,1,1618312301,failed,498SFJGBR,2020/2021,nil,UNPRINTED,ND,NIL
883,25000,CERT,1,1618312566,successful,C8SA7K290,2020/2021,nil,PRINTED,ND,YES
884,25000,CERT,1,1618317139,successful,J0NF60748,2020/2021,nil,PRINTED,ND,NIL
885,25000,CERT,1,1618320778,successful,SVPJWGFRU,2020/2021,nil,PRINTED,ND,NIL
886,25000,CERT,1,1618325414,successful,0CA24VFTU,2020/2021,nil,PRINTED,ND,YES
887,25000,CERT,1,1618346030,successful,MNAU76S4J,2020/2021,nil,PRINTED,ND,NIL
888,25000,CERT,1,1618390567,successful,9GPUTAN0W,2020/2021,nil,PRINTED,ND,NIL
889,25000,CERT,1,1618391501,successful,0DQ09NB15,2020/2021,nil,PRINTED,ND,NIL
890,25000,CERT,1,1618391959,successful,8BCW01DP4,2020/2021,nil,PRINTED,ND,NIL
891,10000,TRANS,1,1618394165,failed,SV5C0ANR6,2020/2021,nil,UNPRINTED,ND,NIL
892,10000,TRANS,1,1618394423,successful,U5BGQ8061,2020/2021,nil,PRINTED,HND,NIL
893,10000,TRANS,1,1618395936,successful,E0N4SAQ09,2020/2021,nil,PRINTED,HND,NIL
894,25000,CERT,1,1618396512,successful,P5BNAHSDF,2020/2021,nil,PRINTED,ND,YES
895,25000,CERT,1,1618497385,successful,WSTGEV2BM,2020/2021,nil,PRINTED,HND,NIL
896,25000,CERT,1,1618396716,successful,MV27T4GE5,2020/2021,nil,PRINTED,ND,NIL
897,10000,TRANS,1,1618399585,failed,6H0K1FG4D,2020/2021,nil,UNPRINTED,ND,NIL
898,10000,TRANS,1,1618399750,successful,2JH05PC7F,2020/2021,nil,PRINTED,ND,YES
899,25000,CERT,1,1618401779,successful,76N1GUFD8,2020/2021,nil,PRINTED,ND,NIL
900,25000,CERT,1,1618401965,successful,2DQ00RBEC,2020/2021,nil,PRINTED,ND,YES
901,25000,CERT,1,1618404087,successful,4C9D7FVHK,2020/2021,nil,PRINTED,ND,NIL
902,25000,CERT,1,1618406551,successful,4D8017KRN,2020/2021,nil,PRINTED,ND,NIL
903,25000,CERT,1,1618415135,successful,SJ62TE8VQ,2020/2021,nil,PRINTED,ND,YES
904,25000,CERT,1,1618419707,failed,VMT9CRHES,2020/2021,nil,UNPRINTED,ND,NIL
905,25000,CERT,1,1618475014,successful,AN7U8DQ54,2020/2021,nil,PRINTED,ND,NIL
907,25000,CERT,1,1618484259,successful,NEBD5S09V,2020/2021,nil,PRINTED,ND,NIL
906,25000,CERT,1,1618478857,successful,25PC0KVHB,2020/2021,nil,PRINTED,ND,NIL
913,25000,CERT,1,1618487946,successful,86A52D7VB,2020/2021,nil,PRINTED,ND,NIL
908,25000,CERT,1,1618484889,successful,NBKQ5J0UH,2020/2021,nil,PRINTED,ND,YES
909,25000,CERT,1,1618484994,successful,UJEH5QKWR,2020/2021,nil,PRINTED,ND,NIL
910,25000,CERT,1,1618484880,successful,FSEBQ4PCV,2020/2021,nil,PRINTED,HND,NIL
911,25000,CERT,1,1618487363,successful,RVS1400G5,2020/2021,nil,PRINTED,HND,NIL
914,25000,CERT,1,1618490804,successful,G2JMRFDTK,2020/2021,nil,PRINTED,ND,YES
912,25000,CERT,1,1618487773,successful,0P25H64UV,2020/2021,nil,PRINTED,ND,YES
915,25000,CERT,1,1618494205,successful,40EMHGK7P,2020/2021,nil,PRINTED,HND,YES
916,25000,CERT,1,1618497866,successful,ER6PD79GA,2020/2021,nil,PRINTED,ND,YES
917,10000,TRANS,1,1618564318,failed,746E05WBK,2020/2021,nil,UNPRINTED,ND,NIL
918,25000,CERT,1,1618565051,successful,51MN9JSDC,2020/2021,nil,PRINTED,ND,YES
919,25000,CERT,1,1618565383,successful,WNC7QR9TV,2020/2021,nil,PRINTED,ND,NIL
920,25000,CERT,1,1618565908,successful,HM5Q16RB0,2020/2021,nil,PRINTED,ND,YES
921,25000,CERT,1,1618587038,successful,B61UPVHC7,2020/2021,nil,PRINTED,ND,NIL
922,25000,CERT,1,1618574260,successful,400VS9QAF,2020/2021,nil,PRINTED,ND,NIL
923,10000,TRANS,1,1618575423,successful,SMBNJG2HK,2020/2021,nil,PRINTED,HND,NIL
924,10000,TRANS,1,1618800354,failed,S5V8BN2P9,2020/2021,nil,UNPRINTED,HND,NIL
925,25000,CERT,1,1618816541,successful,FRQNC210J,2020/2021,nil,PRINTED,ND,YES
926,25000,CERT,1,1618817722,failed,BDF51E09V,2020/2021,nil,UNPRINTED,ND,NIL
927,25000,CERT,1,1618817837,successful,081DM0EWS,2020/2021,nil,PRINTED,ND,NIL
928,25000,CERT,1,1618819223,successful,U9WC8ATKS,2020/2021,nil,PRINTED,HND,NIL
929,10000,TRANS,1,1618820255,failed,S7WAK01U8,2020/2021,nil,UNPRINTED,ND,NIL
930,25000,CERT,1,1622021692,failed,5VS0ET8NP,2020/2021,nil,UNPRINTED,ND,NIL
931,10000,TRANS,1,1618820864,successful,Q9KD06J4R,2020/2021,nil,PRINTED,ND,YES
932,25000,CERT,1,1618821981,successful,W2T5FP9VG,2020/2021,nil,PRINTED,ND,NIL
933,25000,CERT,1,1618899538,successful,0D6FAPU04,2020/2021,nil,PRINTED,ND,NIL
935,10000,TRANS,1,1618842946,successful,6D7U4WPRF,2020/2021,nil,PRINTED,ND,NIL
934,25000,CERT,1,1619004295,successful,5DK2QTW0R,2020/2021,nil,PRINTED,ND,YES
936,25000,CERT,1,1619123500,successful,TC8R7PD2W,2020/2021,nil,PRINTED,ND,YES
937,25000,CERT,1,1618825800,successful,FRB8N5742,2020/2021,nil,PRINTED,ND,YES
938,25000,CERT,1,1618827362,successful,6C9EN7UD4,2020/2021,nil,PRINTED,ND,YES
939,25000,CERT,1,1618826457,successful,8DJVRM610,2020/2021,nil,PRINTED,ND,YES
940,25000,CERT,1,1618827647,successful,N5JKG0VD1,2020/2021,nil,PRINTED,ND,NIL
941,25000,CERT,1,1618839672,failed,BKTQFRP1D,2020/2021,nil,UNPRINTED,ND,NIL
942,25000,CERT,1,1623045900,successful,KPAVM8JSB,2020/2021,nil,PRINTED,ND,NIL
943,25000,CERT,1,1618828268,successful,7042QB5EW,2020/2021,nil,PRINTED,ND,NIL
944,25000,CERT,1,1618828447,successful,ECHAJK6D8,2020/2021,nil,PRINTED,ND,NIL
945,25000,CERT,1,1618829951,failed,6SUR9PENH,2020/2021,nil,UNPRINTED,HND,NIL
946,25000,CERT,1,1618840599,successful,9PT8R7EDU,2020/2021,nil,PRINTED,HND,YES
947,25000,CERT,1,1618830250,successful,9PT8R7EDU,2020/2021,nil,UNPRINTED,ND,YES
948,25000,CERT,1,1618831099,successful,90FAET8R5,2020/2021,nil,PRINTED,ND,NIL
949,25000,CERT,1,1618832502,failed,V2C8FSHGE,2020/2021,nil,UNPRINTED,ND,NIL
950,25000,CERT,1,1618832642,failed,V2C8FSHGE,2020/2021,nil,UNPRINTED,HND,NIL
951,25000,CERT,1,1618833380,successful,PGJH8A0D5,2020/2021,nil,PRINTED,ND,YES
952,25000,CERT,1,1618834222,successful,SBK7JHQ40,2020/2021,nil,PRINTED,ND,YES
953,25000,CERT,1,1618835102,successful,DHC7B0PFN,2020/2021,nil,PRINTED,HND,YES
954,25000,CERT,1,1618842883,successful,6QHP9KFJU,2020/2021,nil,PRINTED,ND,NIL
955,25000,CERT,1,1618932765,successful,KMN9S4JWU,2020/2021,nil,PRINTED,ND,NIL
956,25000,CERT,1,1618846348,successful,7Q4RWS5UC,2020/2021,nil,PRINTED,ND,NIL
957,25000,CERT,1,1618868169,successful,QKC4EPMVN,2020/2021,nil,PRINTED,ND,YES
958,25000,CERT,1,1618909607,successful,HV0860N5T,2020/2021,nil,PRINTED,ND,NIL
959,25000,CERT,1,1618871178,failed,GPFMJ5H1V,2020/2021,nil,UNPRINTED,ND,NIL
960,25000,CERT,1,1618871359,failed,0NJCHTSPU,2020/2021,nil,UNPRINTED,ND,NIL
961,25000,CERT,1,1618905322,successful,51DFKWG72,2020/2021,nil,PRINTED,ND,NIL
962,25000,CERT,1,1618907003,successful,E5BDHPU2S,2020/2021,nil,PRINTED,ND,NIL
963,10000,TRANS,1,1618907614,successful,T56RV008U,2020/2021,nil,PRINTED,ND,YES
964,10000,TRANS,1,1618908370,successful,K9P2JR7AS,2020/2021,nil,PRINTED,HND,NIL
965,25000,CERT,1,1618908387,successful,DK9W5M0EF,2020/2021,nil,PRINTED,ND,NIL
966,25000,CERT,1,1618910436,successful,96D4H5RTA,2020/2021,nil,PRINTED,ND,NIL
967,25000,CERT,1,1618912968,successful,8UJ4PSQED,2020/2021,nil,UNPRINTED,ND,YES
968,25000,CERT,1,1618915997,successful,96TUR1SVQ,2020/2021,nil,PRINTED,ND,NIL
969,25000,CERT,1,1618918861,successful,A54SE6W27,2020/2021,nil,PRINTED,ND,NIL
970,25000,CERT,1,1618922090,successful,H05MAQN4G,2020/2021,nil,PRINTED,ND,YES
971,25000,CERT,1,1618920523,failed,UGEMKQDS4,2020/2021,nil,UNPRINTED,ND,NIL
972,25000,CERT,1,1626965279,successful,NQ60AE8TS,2020/2021,nil,PRINTED,HND,NIL
973,25000,CERT,1,1618925637,successful,J24KM7FES,2020/2021,nil,PRINTED,HND,YES
974,25000,CERT,1,1618925674,successful,7CHFTEK48,2020/2021,nil,PRINTED,ND,YES
975,25000,CERT,1,1618927077,failed,E6UF4QC1R,2020/2021,nil,UNPRINTED,HND,NIL
976,25000,CERT,1,1618939182,failed,VQMGRB0TD,2020/2021,nil,UNPRINTED,HND,NIL
977,25000,CERT,1,1618983682,failed,0RGEND8TJ,2020/2021,nil,UNPRINTED,ND,NIL
978,25000,CERT,1,1618994254,successful,74QDG10UM,2020/2021,nil,PRINTED,ND,YES
979,25000,CERT,1,1619005646,successful,JHA0UR59Q,2020/2021,nil,PRINTED,ND,NIL
980,25000,CERT,1,1619006132,successful,98MDVP10C,2020/2021,nil,PRINTED,ND,YES
981,25000,CERT,1,1619009116,successful,E0RQC9J60,2020/2021,nil,PRINTED,ND,NIL
982,25000,CERT,1,1619011502,successful,U92MEVCHT,2020/2021,nil,PRINTED,ND,YES
983,25000,CERT,1,1619072529,successful,4RTFGQUPS,2020/2021,nil,PRINTED,ND,NIL
984,25000,CERT,1,1619015052,successful,NQ60AE8TS,2020/2021,nil,UNPRINTED,ND,YES
985,25000,CERT,1,1619015465,successful,PT7RC1JK6,2020/2021,nil,PRINTED,ND,YES
987,25000,CERT,1,1619016455,failed,9U42NCARK,2020/2021,nil,UNPRINTED,ND,NIL
986,25000,CERT,1,1619016541,failed,VP8DCAU6W,2020/2021,nil,UNPRINTED,HND,NIL
988,25000,CERT,1,1619071017,successful,GR5WSMP84,2020/2021,nil,PRINTED,ND,NIL
999,25000,CERT,1,1619167875,successful,8AEVM24FJ,2020/2021,nil,PRINTED,ND,YES
989,25000,CERT,1,1619086803,successful,0P6QAV2RB,2020/2021,nil,PRINTED,HND,NIL
990,25000,CERT,1,1619085738,successful,EVPBH7C0R,2020/2021,nil,PRINTED,ND,YES
991,25000,CERT,1,1619087291,successful,2SNPUJD05,2020/2021,nil,PRINTED,ND,YES
992,25000,CERT,1,1619091491,successful,D0Q1T720M,2020/2021,nil,PRINTED,ND,YES
993,25000,CERT,1,1619092246,failed,VPN06R4EC,2020/2021,nil,UNPRINTED,ND,NIL
994,25000,CERT,1,1619154948,successful,ENB05QR89,2020/2021,nil,PRINTED,ND,NIL
995,25000,CERT,1,1619099224,successful,74GPU60B5,2020/2021,nil,PRINTED,HND,YES
996,25000,CERT,1,1619101651,failed,A0P9W1USD,2020/2021,nil,UNPRINTED,HND,NIL
997,25000,CERT,1,1619416286,successful,FR00HWE7J,2020/2021,nil,PRINTED,ND,YES
998,25000,CERT,1,1619106954,failed,CRE20USVF,2020/2021,nil,UNPRINTED,HND,NIL
1000,25000,CERT,1,1619186248,successful,TFUV1NGEQ,2020/2021,nil,PRINTED,ND,NIL
1001,25000,CERT,1,1620402081,successful,049B0TRGC,2020/2021,nil,PRINTED,ND,YES
1002,25000,CERT,1,1619301575,successful,0GJS2TKE5,2020/2021,nil,PRINTED,ND,NIL
1003,25000,CERT,1,1619341036,successful,CPBUNH48S,2020/2021,nil,PRINTED,ND,YES
1004,25000,CERT,1,1619372242,successful,MSQG1D4RB,2020/2021,nil,PRINTED,ND,NIL
1005,25000,CERT,1,1619422626,successful,2UC80GH4N,2020/2021,nil,PRINTED,ND,NIL
1006,25000,CERT,1,1619423866,successful,M8P9TA52U,2020/2021,nil,PRINTED,ND,NIL
1007,25000,CERT,1,1619424339,successful,9UV06854M,2020/2021,nil,PRINTED,ND,YES
1008,25000,CERT,1,1619427786,successful,02G6SBPEK,2020/2021,nil,PRINTED,ND,YES
1009,25000,CERT,1,1619428353,successful,P5GC6AKS1,2020/2021,nil,PRINTED,ND,NIL
1010,25000,CERT,1,1619429736,failed,15KWB6NSM,2020/2021,nil,UNPRINTED,ND,NIL
1011,25000,CERT,1,1619431000,successful,TPV1RK0MS,2020/2021,nil,PRINTED,ND,NIL
1012,25000,CERT,1,1619432027,successful,4KAB0M6DJ,2020/2021,nil,PRINTED,HND,NIL
1013,10000,TRANS,1,1619432280,failed,K200T7CQ9,2020/2021,nil,UNPRINTED,ND,NIL
1014,10000,TRANS,1,1619432304,failed,K200T7CQ9,2020/2021,nil,UNPRINTED,HND,NIL
1015,25000,CERT,1,1619433310,successful,JSDV1FWCT,2020/2021,nil,PRINTED,ND,YES
1016,25000,CERT,1,1619433497,successful,HCSJN49VQ,2020/2021,nil,PRINTED,ND,NIL
1017,25000,CERT,1,1619437185,successful,7VPN6JBSQ,2020/2021,nil,PRINTED,ND,YES
1018,25000,CERT,1,1619437417,successful,0850R7PWQ,2020/2021,nil,PRINTED,HND,YES
1019,10000,TRANS,1,1693479737,successful,2RUJ7M09W,2020/2021,nil,PRINTED,ND,NIL
1020,10000,TRANS,1,1619438445,successful,G90HR8PJW,2020/2021,nil,PRINTED,ND,YES
1021,10000,TRANS,1,1619439129,failed,SBG4W85AT,2020/2021,nil,UNPRINTED,HND,NIL
1022,25000,CERT,1,1619439732,successful,CKH1GB7WQ,2020/2021,nil,PRINTED,ND,YES
1023,25000,CERT,1,1619440078,successful,6V9PADNK4,2020/2021,nil,PRINTED,ND,NIL
1024,25000,CERT,1,1619440401,successful,S15GPMR9W,2020/2021,nil,PRINTED,ND,NIL
1025,10000,TRANS,1,1619522563,successful,BN540DH70,2020/2021,nil,PRINTED,HND,YES
1026,25000,CERT,1,1619446695,successful,180M2PN4K,2020/2021,nil,PRINTED,ND,NIL
1027,25000,CERT,1,1619508343,successful,WSPC2TM04,2020/2021,nil,PRINTED,ND,NIL
1028,10000,TRANS,1,1619511435,failed,PKUHRGECA,2020/2021,nil,UNPRINTED,ND,NIL
1029,25000,CERT,1,1619512550,successful,4EWV9GNSC,2020/2021,nil,PRINTED,ND,YES
1030,25000,CERT,1,1619512672,successful,F8M96NVE4,2020/2021,nil,PRINTED,ND,NIL
1031,25000,CERT,1,1619514047,successful,EHGK04Q62,2020/2021,nil,PRINTED,ND,NIL
1032,25000,CERT,1,1619514157,successful,K9DPQFSB1,2020/2021,nil,PRINTED,ND,NIL
